brief_id,model,language,clip_score
MB139,flux,fr,35.5769
MB139,flux,es,35.9988
MB140,sd15,de,33.5843
MB140,sd15,fr,26.0341
MB140,sd15,es,28.0321
MB140,flux,de,33.0429
MB140,flux,fr,34.1123
MB140,flux,es,29.8508
MB141,sd15,de,31.0032
MB141,sd15,fr,29.1585
MB141,sd15,es,31.4685
MB141,flux,de,33.5035
MB141,flux,fr,29.509
MB141,flux,es,37.0263
MB142,sd15,de,26.4246
MB142,sd15,fr,27.2256
MB142,sd15,es,26.3231
MB142,flux,de,32.6853
MB142,flux,fr,34.4669
MB142,flux,es,26.8466
MB143,sd15,de,26.4156
MB143,sd15,fr,35.3502
MB143,sd15,es,33.4596
MB143,flux,de,28.9102
MB143,flux,fr,41.6632
MB143,flux,es,34.5247
MB144,sd15,de,30.0002
MB144,sd15,fr,31.3833
MB144,sd15,es,28.443
MB144,flux,de,38.7754
MB144,flux,fr,38.1588
MB144,flux,es,39.0326
MB145,sd15,de,32.6002
MB145,sd15,fr,34.5497
MB145,sd15,es,32.6441
MB145,flux,de,39.5101
MB145,flux,fr,33.7448
MB145,flux,es,35.0378
MB146,sd15,de,28.2434
MB146,sd15,fr,34.7974
MB146,sd15,es,33.1478
MB146,flux,de,38.0428
MB146,flux,fr,35.8588
MB146,flux,es,21.9236
MB147,sd15,de,27.6638
MB147,sd15,fr,30.0656
MB147,sd15,es,23.3348
MB147,flux,de,34.9034
MB147,flux,fr,38.5853
MB147,flux,es,29.6365
MB148,sd15,de,22.6318
MB148,sd15,fr,36.7602
MB148,sd15,es,32.8726
MB148,flux,de,31.473
MB148,flux,fr,38.0904
MB148,flux,es,30.0638
MB149,sd15,de,25.0423
MB149,sd15,fr,28.1645
MB149,sd15,es,28.1331
MB149,flux,de,36.2123
MB149,flux,fr,34.7108
MB149,flux,es,31.258
MB150,sd15,de,22.7112
MB150,sd15,fr,30.137
MB150,sd15,es,35.4836
MB150,flux,de,35.3515
MB150,flux,fr,35.0202
MB150,flux,es,38.3
