model,language,prompt_id,seed,source,category,clip_score,mclip_score
sd15,es,GB035,42,GenAI-Bench,Attribute,28.700498,0.29079
sd15,es,GB036,42,GenAI-Bench,Attribute,31.839728,0.292378
sd15,es,GB037,42,GenAI-Bench,Attribute,30.217811,0.280273
sd15,es,GB038,42,GenAI-Bench,Attribute,28.673878,0.284003
sd15,es,GB039,42,GenAI-Bench,Attribute,22.890501,0.236308
sd15,es,GB040,42,GenAI-Bench,Attribute,30.976993,0.279851
sd15,es,GB041,42,GenAI-Bench,Attribute,25.886649,0.304297
sd15,es,GB042,42,GenAI-Bench,Attribute,25.846657,0.271495
sd15,es,GB043,42,GenAI-Bench,Attribute,28.61982,0.282827
sd15,es,GB044,42,GenAI-Bench,Attribute,16.188626,0.251578
sd15,es,GB045,42,GenAI-Bench,Attribute,24.03319,0.252169
sd15,es,GB046,42,GenAI-Bench,Attribute,38.467515,0.367761
